Adm_No,Name,Class,Gender,Subject,Marks,Percentage,Term
6104,Student_6104,II,Male,Maths,84.3,78.6,Final
6105,Student_6105,III,Male,Maths,43.7,37.9,Mid
6106,Student_6106,I,Other,Maths,44.7,55.3,Final
6107,Student_6107,II,Male,Maths,48.3,51.8,Mid
6108,Student_6108,III,Male,Maths,62.1,71.5,Final
6109,Student_6109,I,Male,Maths,75.4,67.0,Mid
6110,Student_6110,II,Other,Maths,85.2,84.5,Final
6111,Student_6111,III,Female,Maths,49.1,57.8,Mid
6112,Student_6112,I,Other,Maths,71.5,75.9,Final
6113,Student_6113,II,Male,Maths,47.5,70.5,Mid
6114,Student_6114,III,Female,Maths,80.2,84.4,Final
6115,Student_6115,I,Female,Maths,87.5,83.6,Mid
6116,Student_6116,II,Male,Maths,87.9,83.5,Final
6117,Student_6117,III,Other,Maths,63.8,69.6,Mid
6118,Student_6118,I,Other,Maths,21.9,22.7,Final
6119,Student_6119,II,Male,Maths,55.4,50.6,Mid
6120,Student_6120,III,Other,Maths,90.8,81.3,Final
6121,Student_6121,I,Female,Maths,59.8,62.3,Mid
6122,Student_6122,II,Female,Maths,88.0,80.6,Final
6123,Student_6123,III,Other,Maths,66.8,76.8,Mid
6124,Student_6124,I,Female,Maths,65.7,61.0,Final
6125,Student_6125,II,Male,Maths,86.0,83.4,Mid
6126,Student_6126,III,Other,Maths,43.0,60.8,Final
6127,Student_6127,I,Other,Maths,44.1,45.2,Mid
6128,Student_6128,II,Male,Maths,93.9,81.0,Final
6129,Student_6129,III,Other,Maths,71.4,82.7,Mid
6130,Student_6130,I,Female,Maths,52.3,49.7,Final
6131,Student_6131,II,Male,Maths,55.1,47.8,Mid
6132,Student_6132,III,Female,Maths,78.4,68.9,Final
6133,Student_6133,I,Other,Maths,97.5,94.7,Mid
6134,Student_6134,II,Male,Maths,78.3,82.7,Final
6135,Student_6135,III,Other,Maths,58.2,49.6,Mid
6136,Student_6136,I,Other,Maths,58.1,58.5,Final
6137,Student_6137,II,Other,Maths,47.9,60.3,Mid
6138,Student_6138,III,Male,Maths,34.6,36.2,Final
6139,Student_6139,I,Male,Maths,57.5,75.2,Mid
6140,Student_6140,II,Other,Maths,54.2,52.9,Final
6141,Student_6141,III,Female,Maths,58.4,59.4,Mid
6142,Student_6142,I,Female,Maths,88.3,100.0,Final
6143,Student_6143,II,Female,Maths,97.1,73.6,Mid
6144,Student_6144,III,Female,Maths,69.1,80.3,Final
6145,Student_6145,I,Female,Maths,63.8,60.4,Mid
6146,Student_6146,II,Female,Maths,46.4,47.3,Final
6147,Student_6147,III,Female,Maths,68.6,74.3,Mid
6148,Student_6148,I,Female,Maths,91.2,94.9,Final
6149,Student_6149,II,Female,Maths,69.1,76.4,Mid
6150,Student_6150,III,Other,Maths,66.0,62.3,Final
6151,Student_6151,I,Female,Maths,61.6,46.2,Mid
6152,Student_6152,II,Other,Maths,100.0,86.8,Final
6153,Student_6153,III,Female,Maths,82.6,76.3,Mid
6154,Student_6154,I,Other,Maths,46.8,54.0,Final
6155,Student_6155,II,Female,Maths,75.2,70.7,Mid
6156,Student_6156,III,Female,Maths,36.8,35.5,Final
6157,Student_6157,I,Male,Maths,31.4,27.3,Mid
6158,Student_6158,II,Male,Maths,70.0,83.7,Final
6159,Student_6159,III,Other,Maths,34.5,51.0,Mid
6160,Student_6160,I,Male,Maths,63.9,51.5,Final
6161,Student_6161,II,Male,Maths,91.3,92.3,Mid
6162,Student_6162,III,Other,Maths,94.1,98.0,Final
6163,Student_6163,I,Other,Maths,94.6,92.7,Mid
6164,Student_6164,II,Female,Maths,77.7,92.4,Final
6165,Student_6165,III,Female,Maths,100.0,100.0,Mid
6166,Student_6166,I,Female,Maths,32.9,45.5,Final
6167,Student_6167,II,Other,Maths,76.7,93.3,Mid
6168,Student_6168,III,Female,Maths,70.3,57.4,Final
6169,Student_6169,I,Male,Maths,60.8,32.6,Mid
6170,Student_6170,II,Female,Maths,40.0,51.1,Final
6171,Student_6171,III,Male,Maths,49.0,44.6,Mid
6172,Student_6172,I,Other,Maths,100.0,92.0,Final
6173,Student_6173,II,Male,Maths,73.0,89.9,Mid
6174,Student_6174,III,Female,Maths,39.1,38.0,Final
6175,Student_6175,I,Male,Maths,95.9,85.4,Mid
6176,Student_6176,II,Other,Maths,64.1,69.4,Final
6177,Student_6177,III,Female,Maths,53.8,40.6,Mid
6178,Student_6178,I,Male,Maths,79.9,73.7,Final
6179,Student_6179,II,Other,Maths,38.4,49.1,Mid
6180,Student_6180,III,Female,Maths,48.8,61.6,Final
6181,Student_6181,I,Female,Maths,63.0,69.5,Mid
6182,Student_6182,II,Male,Maths,95.3,100.0,Final
6183,Student_6183,III,Male,Maths,37.4,36.9,Mid
6184,Student_6184,I,Other,Maths,73.2,53.8,Final
6185,Student_6185,II,Female,Maths,71.2,76.6,Mid
6186,Student_6186,III,Female,Maths,76.0,74.8,Final
6187,Student_6187,I,Other,Maths,97.8,79.8,Mid
6188,Student_6188,II,Female,Maths,71.2,61.4,Final
6189,Student_6189,III,Female,Maths,87.2,86.8,Mid
6190,Student_6190,I,Other,Maths,69.7,72.2,Final
6191,Student_6191,II,Male,Maths,25.0,41.0,Mid
6192,Student_6192,III,Female,Maths,64.3,66.8,Final
6193,Student_6193,I,Other,Maths,95.4,72.3,Mid
6194,Student_6194,II,Male,Maths,80.6,87.6,Final
6195,Student_6195,III,Male,Maths,59.1,48.5,Mid
6196,Student_6196,I,Female,Maths,47.2,54.1,Final
6197,Student_6197,II,Male,Maths,82.9,74.6,Mid
6198,Student_6198,III,Male,Maths,100.0,95.6,Final
6199,Student_6199,I,Male,Maths,47.1,52.4,Mid
6200,Student_6200,II,Other,Maths,73.1,79.5,Final
6201,Student_6201,III,Male,Maths,100.0,99.1,Mid
6202,Student_6202,I,Other,Maths,45.9,38.7,Final
6203,Student_6203,II,Female,Maths,82.6,73.8,Mid
6204,Student_6204,III,Other,Maths,55.4,55.1,Final
6205,Student_6205,I,Male,Maths,60.6,71.4,Mid
6206,Student_6206,II,Other,Maths,28.7,29.6,Final
6207,Student_6207,III,Female,Maths,77.6,88.5,Mid
6208,Student_6208,I,Other,Maths,48.5,42.9,Final
6209,Student_6209,II,Other,Maths,51.2,61.9,Mid
6210,Student_6210,III,Female,Maths,83.4,91.4,Final
6211,Student_6211,I,Other,Maths,31.5,33.3,Mid
6212,Student_6212,II,Male,Maths,94.0,80.4,Final
6213,Student_6213,III,Female,Maths,34.2,46.4,Mid
6214,Student_6214,I,Female,Maths,59.7,66.5,Final
6215,Student_6215,II,Other,Maths,75.9,81.0,Mid
6216,Student_6216,III,Other,Maths,35.8,31.5,Final
6217,Student_6217,I,Other,Maths,48.8,58.0,Mid
6218,Student_6218,II,Other,Maths,48.6,61.0,Final
6219,Student_6219,III,Other,Maths,68.1,76.0,Mid
6220,Student_6220,I,Other,Maths,71.4,67.9,Final
6221,Student_6221,II,Female,Maths,24.9,41.2,Mid
6222,Student_6222,III,Male,Maths,75.0,64.6,Final
6223,Student_6223,I,Other,Maths,50.9,43.7,Mid
6224,Student_6224,II,Male,Maths,84.6,77.9,Final
6225,Student_6225,III,Male,Maths,52.6,48.4,Mid
6226,Student_6226,I,Other,Maths,47.2,46.3,Final
6227,Student_6227,II,Male,Maths,27.9,36.1,Mid
6228,Student_6228,III,Male,Maths,88.0,92.6,Final
6229,Student_6229,I,Female,Maths,56.4,61.3,Mid
6230,Student_6230,II,Female,Maths,18.3,33.0,Final
6231,Student_6231,III,Male,Maths,94.2,79.8,Mid
6232,Student_6232,I,Female,Maths,77.4,89.9,Final
6233,Student_6233,II,Male,Maths,94.4,99.3,Mid
6234,Student_6234,III,Male,Maths,53.8,57.1,Final
6235,Student_6235,I,Male,Maths,58.8,55.6,Mid
6236,Student_6236,II,Other,Maths,41.2,45.7,Final
6237,Student_6237,III,Female,Maths,58.5,65.8,Mid
6238,Student_6238,I,Other,Maths,84.5,74.9,Final
6239,Student_6239,II,Male,Maths,83.0,50.3,Mid
6240,Student_6240,III,Other,Maths,95.2,74.0,Final
6241,Student_6241,I,Other,Maths,71.9,71.1,Mid
6242,Student_6242,II,Female,Maths,69.2,86.0,Final
6243,Student_6243,III,Other,Maths,33.9,51.3,Mid
6244,Student_6244,I,Female,Maths,94.5,84.9,Final
6245,Student_6245,II,Female,Maths,55.3,54.8,Mid
6246,Student_6246,III,Other,Maths,79.5,77.9,Final
6247,Student_6247,I,Female,Maths,94.5,91.5,Mid
6248,Student_6248,II,Female,Maths,48.9,55.8,Final
6249,Student_6249,III,Other,Maths,88.9,89.0,Mid
6250,Student_6250,I,Female,Maths,100.0,97.2,Final
6251,Student_6251,II,Male,Maths,100.0,89.6,Mid
6252,Student_6252,III,Other,Maths,78.6,62.0,Final
6253,Student_6253,I,Other,Maths,65.7,58.5,Mid
6254,Student_6254,II,Male,Maths,19.2,23.9,Final
6255,Student_6255,III,Other,Maths,75.9,73.9,Mid
6256,Student_6256,I,Male,Maths,49.9,37.6,Final
6257,Student_6257,II,Male,Maths,86.7,68.0,Mid
6258,Student_6258,III,Other,Maths,100.0,100.0,Final
6259,Student_6259,I,Female,Maths,72.5,77.7,Mid
6260,Student_6260,II,Female,Maths,65.8,54.1,Final
6261,Student_6261,III,Female,Maths,75.9,81.8,Mid
6262,Student_6262,I,Male,Maths,48.6,37.7,Final
6263,Student_6263,II,Other,Maths,97.5,84.5,Mid
6264,Student_6264,III,Male,Maths,53.7,45.4,Final
6265,Student_6265,I,Other,Maths,49.0,54.7,Mid
6266,Student_6266,II,Other,Maths,23.3,33.9,Final
6267,Student_6267,III,Male,Maths,88.3,91.4,Mid
6268,Student_6268,I,Female,Maths,73.2,67.1,Final
6269,Student_6269,II,Male,Maths,53.1,61.2,Mid
6270,Student_6270,III,Female,Maths,82.2,100.0,Final
6271,Student_6271,I,Female,Maths,98.6,84.2,Mid
6272,Student_6272,II,Male,Maths,59.4,72.1,Final
6273,Student_6273,III,Other,Maths,100.0,98.0,Mid
6274,Student_6274,I,Other,Maths,66.6,62.8,Final
6275,Student_6275,II,Male,Maths,55.0,62.8,Mid
6276,Student_6276,III,Other,Maths,83.2,84.9,Final
6277,Student_6277,I,Other,Maths,86.6,70.9,Mid
6278,Student_6278,II,Female,Maths,24.4,41.6,Final
6279,Student_6279,III,Other,Maths,94.0,83.1,Mid
6280,Student_6280,I,Male,Maths,41.5,41.1,Final
6281,Student_6281,II,Other,Maths,31.2,39.3,Mid
6282,Student_6282,III,Other,Maths,76.9,73.1,Final
6283,Student_6283,I,Female,Maths,44.7,49.0,Mid
6284,Student_6284,II,Other,Maths,35.4,34.0,Final
6285,Student_6285,III,Other,Maths,74.9,67.1,Mid
6286,Student_6286,I,Other,Maths,65.2,56.6,Final
6287,Student_6287,II,Female,Maths,53.8,58.1,Mid
6288,Student_6288,III,Other,Maths,68.1,60.2,Final
6289,Student_6289,I,Female,Maths,77.7,57.6,Mid
6290,Student_6290,II,Female,Maths,60.0,71.9,Final
6291,Student_6291,III,Male,Maths,32.3,40.5,Mid
6292,Student_6292,I,Male,Maths,32.4,47.2,Final
6293,Student_6293,II,Other,Maths,100.0,98.0,Mid
6294,Student_6294,III,Female,Maths,51.5,51.4,Final
6295,Student_6295,I,Female,Maths,38.0,39.9,Mid
6296,Student_6296,II,Other,Maths,100.0,100.0,Final
6297,Student_6297,III,Male,Maths,75.3,66.2,Mid
6298,Student_6298,I,Male,Maths,67.2,65.1,Final
6299,Student_6299,II,Male,Maths,71.0,57.2,Mid
6300,Student_6300,III,Male,Maths,62.1,63.3,Final
6301,Student_6301,I,Female,Maths,23.7,35.7,Mid
6302,Student_6302,II,Other,Maths,89.3,74.4,Final
6303,Student_6303,III,Male,Maths,82.8,84.8,Mid
6304,Student_6304,I,Female,Maths,59.7,76.5,Final
6305,Student_6305,II,Male,Maths,9.5,39.4,Mid
6306,Student_6306,III,Other,Maths,23.4,38.5,Final
6307,Student_6307,I,Female,Maths,82.7,89.3,Mid
6308,Student_6308,II,Male,Maths,85.6,85.6,Final
6309,Student_6309,III,Female,Maths,34.1,31.2,Mid
6310,Student_6310,I,Female,Maths,26.3,41.7,Final
6311,Student_6311,II,Other,Maths,64.7,68.1,Mid
6312,Student_6312,III,Male,Maths,64.3,71.0,Final
6313,Student_6313,I,Other,Maths,79.2,75.4,Mid
6314,Student_6314,II,Other,Maths,72.1,64.0,Final
6315,Student_6315,III,Male,Maths,62.2,46.4,Mid
6316,Student_6316,I,Other,Maths,96.1,82.5,Final
6317,Student_6317,II,Other,Maths,71.2,85.0,Mid
6318,Student_6318,III,Female,Maths,38.7,37.2,Final
6319,Student_6319,I,Male,Maths,57.5,60.3,Mid
6320,Student_6320,II,Female,Maths,42.1,43.8,Final
6321,Student_6321,III,Female,Maths,50.8,51.8,Mid
6322,Student_6322,I,Male,Maths,100.0,99.7,Final
6323,Student_6323,II,Female,Maths,42.8,35.9,Mid
6324,Student_6324,III,Other,Maths,78.5,78.1,Final
6325,Student_6325,I,Female,Maths,36.7,35.3,Mid
6326,Student_6326,II,Other,Maths,48.4,60.6,Final
6327,Student_6327,III,Male,Maths,85.3,79.0,Mid
6328,Student_6328,I,Other,Maths,34.9,37.5,Final
6329,Student_6329,II,Female,Maths,69.2,77.2,Mid
6330,Student_6330,III,Male,Maths,36.1,49.2,Final
6331,Student_6331,I,Other,Maths,100.0,83.7,Mid
6332,Student_6332,II,Female,Maths,89.9,94.9,Final
6333,Student_6333,III,Female,Maths,79.4,70.6,Mid
6334,Student_6334,I,Male,Maths,49.3,46.0,Final
6335,Student_6335,II,Other,Maths,100.0,89.6,Mid
6336,Student_6336,III,Male,Maths,43.2,59.4,Final
6337,Student_6337,I,Male,Maths,52.7,39.6,Mid
6338,Student_6338,II,Male,Maths,90.1,74.9,Final
6339,Student_6339,III,Female,Maths,34.6,44.4,Mid
6340,Student_6340,I,Male,Maths,93.4,85.6,Final
6341,Student_6341,II,Other,Maths,27.9,37.5,Mid
6342,Student_6342,III,Male,Maths,74.1,77.4,Final
6343,Student_6343,I,Other,Maths,62.5,72.6,Mid
6344,Student_6344,II,Other,Maths,68.8,63.4,Final
6345,Student_6345,III,Other,Maths,66.1,69.4,Mid
6346,Student_6346,I,Male,Maths,38.9,39.2,Final
6347,Student_6347,II,Male,Maths,28.0,38.4,Mid
6348,Student_6348,III,Other,Maths,97.7,88.7,Final
6349,Student_6349,I,Female,Maths,81.7,84.2,Mid
6350,Student_6350,II,Other,Maths,84.6,83.6,Final
6351,Student_6351,III,Male,Maths,65.1,70.8,Mid
6352,Student_6352,I,Female,Maths,32.0,49.3,Final
6353,Student_6353,II,Male,Maths,58.9,68.3,Mid
6354,Student_6354,III,Female,Maths,60.9,63.3,Final
6355,Student_6355,I,Male,Maths,36.3,38.1,Mid
6356,Student_6356,II,Other,Maths,71.3,56.4,Final
6357,Student_6357,III,Female,Maths,68.2,52.8,Mid
6358,Student_6358,I,Male,Maths,64.3,57.6,Final
6359,Student_6359,II,Female,Maths,93.3,73.6,Mid
6360,Student_6360,III,Female,Maths,58.4,63.3,Final
6361,Student_6361,I,Other,Maths,83.0,76.2,Mid
6362,Student_6362,II,Female,Maths,95.4,91.9,Final
6363,Student_6363,III,Female,Maths,96.4,92.1,Mid
6364,Student_6364,I,Other,Maths,74.5,83.9,Final
6365,Student_6365,II,Female,Maths,85.6,84.8,Mid
6366,Student_6366,III,Other,Maths,56.3,60.5,Final
6367,Student_6367,I,Other,Maths,68.1,79.0,Mid
6368,Student_6368,II,Other,Maths,81.3,76.2,Final
6369,Student_6369,III,Other,Maths,65.0,82.2,Mid
6370,Student_6370,I,Other,Maths,85.2,72.8,Final
6371,Student_6371,II,Female,Maths,57.5,56.8,Mid
6372,Student_6372,III,Female,Maths,81.4,92.8,Final
6373,Student_6373,I,Male,Maths,80.6,83.9,Mid
6374,Student_6374,II,Other,Maths,38.8,39.0,Final
6375,Student_6375,III,Other,Maths,72.0,61.3,Mid
6376,Student_6376,I,Other,Maths,69.7,56.2,Final
6377,Student_6377,II,Other,Maths,64.9,66.7,Mid
6378,Student_6378,III,Female,Maths,93.7,94.5,Final
6379,Student_6379,I,Male,Maths,92.6,73.7,Mid
6380,Student_6380,II,Other,Maths,62.0,77.9,Final
6381,Student_6381,III,Other,Maths,31.6,46.2,Mid
6382,Student_6382,I,Other,Maths,59.5,45.1,Final
6383,Student_6383,II,Female,Maths,45.3,47.4,Mid
6384,Student_6384,III,Female,Maths,74.7,67.9,Final
6385,Student_6385,I,Male,Maths,99.9,85.7,Mid
6386,Student_6386,II,Male,Maths,61.7,80.8,Final
6387,Student_6387,III,Other,Maths,61.5,48.5,Mid
6388,Student_6388,I,Male,Maths,59.8,52.3,Final
6389,Student_6389,II,Male,Maths,82.5,97.2,Mid
6390,Student_6390,III,Other,Maths,36.7,41.9,Final
6391,Student_6391,I,Female,Maths,32.6,32.2,Mid
6392,Student_6392,II,Male,Maths,87.0,80.4,Final
6393,Student_6393,III,Female,Maths,50.5,60.9,Mid
6394,Student_6394,I,Female,Maths,74.7,66.9,Final
6395,Student_6395,II,Male,Maths,33.7,32.8,Mid
6396,Student_6396,III,Female,Maths,51.9,60.4,Final
6397,Student_6397,I,Female,Maths,33.2,38.5,Mid
6398,Student_6398,II,Other,Maths,39.8,34.9,Final
6399,Student_6399,III,Male,Maths,35.0,41.1,Mid
6400,Student_6400,I,Other,Maths,39.4,42.8,Final
6401,Student_6401,II,Male,Maths,60.6,64.2,Mid
6402,Student_6402,III,Other,Maths,58.7,75.1,Final
6403,Student_6403,I,Other,Maths,46.3,51.6,Mid
6404,Student_6404,II,Female,Maths,62.9,65.3,Final
6405,Student_6405,III,Male,Maths,67.3,67.2,Mid
6406,Student_6406,I,Male,Maths,33.0,26.0,Final
6407,Student_6407,II,Female,Maths,74.2,83.4,Mid
6408,Student_6408,III,Other,Maths,45.8,36.5,Final
6409,Student_6409,I,Other,Maths,84.5,88.3,Mid
6410,Student_6410,II,Male,Maths,76.3,77.1,Final
6411,Student_6411,III,Male,Maths,37.9,54.1,Mid
6412,Student_6412,I,Female,Maths,64.9,75.5,Final
6413,Student_6413,II,Female,Maths,62.9,53.7,Mid
6414,Student_6414,III,Other,Maths,53.6,63.1,Final
6415,Student_6415,I,Other,Maths,33.2,43.5,Mid
6416,Student_6416,II,Female,Maths,75.9,75.3,Final
6417,Student_6417,III,Female,Maths,73.0,66.2,Mid
6418,Student_6418,I,Female,Maths,56.0,57.5,Final
6419,Student_6419,II,Female,Maths,59.4,79.0,Mid
6420,Student_6420,III,Other,Maths,66.5,80.5,Final
6421,Student_6421,I,Male,Maths,70.7,57.4,Mid
6422,Student_6422,II,Other,Maths,83.6,77.3,Final
6423,Student_6423,III,Other,Maths,32.5,48.7,Mid
6424,Student_6424,I,Female,Maths,83.6,86.4,Final
6425,Student_6425,II,Female,Maths,80.5,62.6,Mid
6426,Student_6426,III,Female,Maths,62.9,63.0,Final
6427,Student_6427,I,Other,Maths,57.7,65.0,Mid
6428,Student_6428,II,Male,Maths,35.5,50.0,Final
6429,Student_6429,III,Female,Maths,72.6,77.0,Mid
6430,Student_6430,I,Female,Maths,42.5,34.6,Final
6431,Student_6431,II,Other,Maths,87.1,66.3,Mid
6432,Student_6432,III,Male,Maths,95.9,82.9,Final
6433,Student_6433,I,Male,Maths,72.3,67.8,Mid
6434,Student_6434,II,Female,Maths,60.1,61.1,Final
6435,Student_6435,III,Female,Maths,86.8,97.9,Mid
6436,Student_6436,I,Other,Maths,42.4,44.9,Final
6437,Student_6437,II,Male,Maths,45.9,63.7,Mid
6438,Student_6438,III,Male,Maths,50.3,41.7,Final
6439,Student_6439,I,Female,Maths,48.8,46.9,Mid
6440,Student_6440,II,Female,Maths,53.0,54.1,Final
6441,Student_6441,III,Male,Maths,68.0,82.2,Mid
6442,Student_6442,I,Male,Maths,64.5,61.3,Final
6443,Student_6443,II,Female,Maths,66.1,68.7,Mid
6444,Student_6444,III,Male,Maths,77.2,72.8,Final
6445,Student_6445,I,Other,Maths,65.1,65.5,Mid
6446,Student_6446,II,Male,Maths,60.4,50.3,Final
6447,Student_6447,III,Other,Maths,23.2,45.9,Mid
6448,Student_6448,I,Male,Maths,85.9,83.5,Final
6449,Student_6449,II,Female,Maths,67.9,59.3,Mid
6450,Student_6450,III,Other,Maths,79.8,77.7,Final
6451,Student_6451,I,Female,Maths,75.7,76.0,Mid
6452,Student_6452,II,Other,Maths,89.8,76.2,Final
6453,Student_6453,III,Male,Maths,42.4,54.2,Mid
6454,Student_6454,I,Other,Maths,45.8,58.2,Final
6455,Student_6455,II,Male,Maths,57.5,57.5,Mid
6456,Student_6456,III,Female,Maths,97.4,89.6,Final
6457,Student_6457,I,Male,Maths,64.6,61.6,Mid
6458,Student_6458,II,Other,Maths,98.4,86.0,Final
6459,Student_6459,III,Male,Maths,48.8,32.2,Mid
6460,Student_6460,I,Other,Maths,86.0,90.6,Final
6461,Student_6461,II,Female,Maths,96.8,90.4,Mid
6462,Student_6462,III,Female,Maths,63.2,56.2,Final
6463,Student_6463,I,Female,Maths,59.1,52.9,Mid
6464,Student_6464,II,Male,Maths,68.2,73.3,Final
6465,Student_6465,III,Male,Maths,20.0,24.7,Mid
6466,Student_6466,I,Other,Maths,45.3,46.3,Final
6467,Student_6467,II,Other,Maths,73.5,63.3,Mid
6468,Student_6468,III,Other,Maths,63.6,79.7,Final
6469,Student_6469,I,Female,Maths,46.4,41.0,Mid
6470,Student_6470,II,Male,Maths,71.8,81.1,Final
6471,Student_6471,III,Female,Maths,61.3,55.2,Mid
6472,Student_6472,I,Female,Maths,47.9,51.7,Final
6473,Student_6473,II,Female,Maths,53.4,46.7,Mid
6474,Student_6474,III,Female,Maths,99.9,89.0,Final
6475,Student_6475,I,Other,Maths,54.1,81.1,Mid
6476,Student_6476,II,Female,Maths,27.6,35.6,Final
6477,Student_6477,III,Male,Maths,62.3,62.4,Mid
6478,Student_6478,I,Other,Maths,36.5,41.8,Final
6479,Student_6479,II,Female,Maths,24.9,41.7,Mid
6480,Student_6480,III,Female,Maths,35.9,34.9,Final
6481,Student_6481,I,Female,Maths,77.8,91.6,Mid
6482,Student_6482,II,Other,Maths,57.5,44.9,Final
6483,Student_6483,III,Other,Maths,56.3,61.3,Mid
6484,Student_6484,I,Other,Maths,37.5,42.3,Final
6485,Student_6485,II,Female,Maths,100.0,95.8,Mid
6486,Student_6486,III,Male,Maths,69.1,81.8,Final
6487,Student_6487,I,Female,Maths,28.9,41.3,Mid
6488,Student_6488,II,Other,Maths,73.8,74.7,Final
6489,Student_6489,III,Other,Maths,72.8,68.5,Mid
6490,Student_6490,I,Other,Maths,84.0,91.6,Final
6491,Student_6491,II,Other,Maths,53.3,72.1,Mid
6492,Student_6492,III,Female,Maths,41.4,42.5,Final
6493,Student_6493,I,Male,Maths,59.0,60.4,Mid
6494,Student_6494,II,Female,Maths,64.5,68.7,Final
6495,Student_6495,III,Male,Maths,48.0,48.0,Mid
6496,Student_6496,I,Other,Maths,61.1,52.0,Final
6497,Student_6497,II,Other,Maths,95.4,95.9,Mid
6498,Student_6498,III,Female,Maths,74.7,71.4,Final
6499,Student_6499,I,Female,Maths,63.0,59.6,Mid
6500,Student_6500,II,Male,Maths,56.9,54.9,Final
6501,Student_6501,III,Male,Maths,62.2,66.3,Mid
6502,Student_6502,I,Male,Maths,71.6,69.6,Final
6503,Student_6503,II,Male,Maths,41.5,31.0,Mid
6504,Student_6504,III,Male,Maths,54.8,61.9,Final
6505,Student_6505,I,Other,Maths,49.1,63.4,Mid
6506,Student_6506,II,Other,Maths,100.0,100.0,Final
6507,Student_6507,III,Female,Maths,38.5,45.6,Mid
6508,Student_6508,I,Male,Maths,49.7,44.3,Final
6509,Student_6509,II,Other,Maths,51.2,66.6,Mid
6510,Student_6510,III,Female,Maths,82.5,89.5,Final
6511,Student_6511,I,Female,Maths,60.4,57.8,Mid
6512,Student_6512,II,Female,Maths,34.1,37.9,Final
6513,Student_6513,III,Female,Maths,78.4,74.4,Mid
6514,Student_6514,I,Other,Maths,62.7,55.2,Final
6515,Student_6515,II,Other,Maths,56.9,59.1,Mid
6516,Student_6516,III,Female,Maths,86.4,88.7,Final
6517,Student_6517,I,Other,Maths,49.1,52.6,Mid
6518,Student_6518,II,Other,Maths,54.1,57.6,Final
6519,Student_6519,III,Male,Maths,39.0,30.8,Mid
6520,Student_6520,I,Other,Maths,76.4,72.2,Final
6521,Student_6521,II,Female,Maths,84.9,90.4,Mid
6522,Student_6522,III,Male,Maths,80.4,66.7,Final
6523,Student_6523,I,Other,Maths,100.0,96.0,Mid
6524,Student_6524,II,Other,Maths,54.8,55.0,Final
6525,Student_6525,III,Female,Maths,66.3,77.5,Mid
6526,Student_6526,I,Male,Maths,39.7,45.3,Final
6527,Student_6527,II,Other,Maths,97.6,100.0,Mid
6528,Student_6528,III,Other,Maths,48.9,46.4,Final
6529,Student_6529,I,Male,Maths,64.6,49.0,Mid
6530,Student_6530,II,Female,Maths,58.2,43.3,Final
6531,Student_6531,III,Male,Maths,72.3,69.5,Mid
6532,Student_6532,I,Male,Maths,34.2,62.1,Final
6533,Student_6533,II,Female,Maths,46.3,58.9,Mid
6534,Student_6534,III,Male,Maths,34.1,47.7,Final
6535,Student_6535,I,Female,Maths,93.3,81.0,Mid
6536,Student_6536,II,Female,Maths,41.7,52.8,Final
6537,Student_6537,III,Female,Maths,61.7,80.1,Mid
6538,Student_6538,I,Other,Maths,76.5,58.8,Final
6539,Student_6539,II,Male,Maths,45.0,49.8,Mid
6540,Student_6540,III,Other,Maths,65.1,63.8,Final
6541,Student_6541,I,Male,Maths,60.4,57.4,Mid
6542,Student_6542,II,Male,Maths,69.2,62.5,Final
6543,Student_6543,III,Female,Maths,70.3,86.8,Mid
6544,Student_6544,I,Male,Maths,56.3,69.7,Final
6545,Student_6545,II,Male,Maths,70.1,55.8,Mid
6546,Student_6546,III,Female,Maths,44.9,55.7,Final
6547,Student_6547,I,Other,Maths,54.5,56.3,Mid
6548,Student_6548,II,Female,Maths,82.6,65.1,Final
6549,Student_6549,III,Other,Maths,88.9,72.7,Mid
6550,Student_6550,I,Male,Maths,76.3,71.2,Final
6551,Student_6551,II,Male,Maths,49.9,55.9,Mid
6552,Student_6552,III,Female,Maths,100.0,99.1,Final
6553,Student_6553,I,Other,Maths,26.5,37.1,Mid
6554,Student_6554,II,Other,Maths,78.0,71.2,Final
6555,Student_6555,III,Male,Maths,73.4,66.8,Mid
6556,Student_6556,I,Female,Maths,33.3,45.9,Final
6557,Student_6557,II,Female,Maths,61.2,31.6,Mid
6558,Student_6558,III,Other,Maths,70.6,63.8,Final
6559,Student_6559,I,Male,Maths,33.7,40.4,Mid
6560,Student_6560,II,Female,Maths,100.0,90.2,Final
6561,Student_6561,III,Other,Maths,56.2,55.8,Mid
6562,Student_6562,I,Female,Maths,60.7,61.7,Final
6563,Student_6563,II,Other,Maths,62.6,68.8,Mid
6564,Student_6564,III,Female,Maths,65.5,56.3,Final
6565,Student_6565,I,Female,Maths,45.7,30.6,Mid
6566,Student_6566,II,Male,Maths,61.1,62.8,Final
6567,Student_6567,III,Other,Maths,66.9,65.4,Mid
6568,Student_6568,I,Male,Maths,40.7,48.3,Final
6569,Student_6569,II,Other,Maths,52.1,55.2,Mid
6570,Student_6570,III,Other,Maths,84.4,77.6,Final
6571,Student_6571,I,Female,Maths,93.5,83.6,Mid
6572,Student_6572,II,Other,Maths,60.7,62.2,Final
6573,Student_6573,III,Other,Maths,75.0,76.9,Mid
6574,Student_6574,I,Other,Maths,31.1,31.4,Final
6575,Student_6575,II,Male,Maths,47.7,53.7,Mid
6576,Student_6576,III,Male,Maths,63.5,55.4,Final
